"title","year","length","budget","rating","votes","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"'A' gai waak",1983,106,NA,7.1,1259,"PG-13",1,0,1,0,0,0,0
"'Breaker' Morant",1980,107,NA,7.9,2718,"",0,0,0,1,0,0,0
"'Crocodile' Dundee II",1988,110,NA,5,7252,"",1,0,1,0,0,0,0
"'Manos' the Hands of Fate",1966,74,19000,1.6,7996,"",0,0,0,0,0,0,0
"'burbs, The",1989,101,NA,6,7641,"",0,0,1,0,0,0,0
"(T)Raumschiff Surprise - Periode 1",2004,87,NA,5.6,1275,"",0,0,1,0,0,0,0
"*batteries not included",1987,106,NA,5.7,4148,"",0,0,1,0,0,0,0
"...And Justice for All",1979,119,NA,7,2610,"",0,0,0,1,0,0,0
"10",1979,122,NA,5.7,3170,"",0,0,1,0,0,1,0
"10 Things I Hate About You",1999,97,16000000,6.7,19095,"PG-13",0,0,1,0,0,1,0
"100 Girls",2000,90,NA,5.8,3349,"R",0,0,1,0,0,1,0
"101 Dalmatians",1996,103,NA,5.5,5028,"",0,0,1,0,0,0,0
"102 Dalmatians",2000,100,85000000,4.7,1987,"",0,0,1,0,0,0,0
"11'09''01 - September 11",2002,134,NA,6.9,1264,"",0,0,0,1,0,0,0
"12 Angry Men",1957,96,340000,8.7,29278,"",0,0,0,1,0,0,0
"13 Going On 30",2004,98,37000000,6.4,7859,"PG-13",0,0,1,1,0,1,0
"13th Warrior, The",1999,102,85000000,6.1,14344,"R",1,0,0,0,0,0,0
"1492: Conquest of Paradise",1992,154,47000000,6,3379,"",0,0,0,1,0,0,0
"15 Minutes",2001,120,42000000,6.1,10866,"R",0,0,0,1,0,0,0
"1776",1972,180,4000000,7.3,1754,"PG",0,0,0,1,0,0,0
"1900",1976,245,9000000,7.5,2408,"",0,0,0,1,0,0,0
"1941",1979,146,35000000,5.6,5536,"",0,0,1,0,0,0,0
"2 Days in the Valley",1996,104,NA,6.4,5057,"R",0,0,0,1,0,0,0
"2 Fast 2 Furious",2003,107,76000000,5.1,9556,"PG-13",1,0,0,0,0,0,0
"200 Cigarettes",1999,101,6000000,5.4,4514,"R",0,0,1,1,0,0,0
"20000 Leagues Under the Sea",1954,127,5000000,7.1,2741,"",0,0,0,1,0,0,0
"2001: A Space Odyssey",1968,156,10500000,8.3,64982,"",0,0,0,0,0,0,0
"2001: A Space Travesty",2000,99,26000000,2.5,2023,"R",0,0,1,0,0,0,0
"2010",1984,116,NA,6.5,7300,"",0,0,0,0,0,0,0
"2046",2004,129,12000000,7.6,2663,"R",0,0,0,1,0,1,0
"21 Grams",2003,124,20000000,8,21857,"R",0,0,0,1,0,0,0
"23",1998,100,NA,7.2,1246,"",0,0,0,1,0,0,0
"24 Hour Party People",2002,117,NA,7.2,3603,"R",0,0,1,1,0,0,0
"25th Hour",2002,135,15000000,7.8,15788,"R",0,0,0,1,0,0,0
"28 Days",2000,103,43000000,6,7465,"PG-13",0,0,0,1,0,0,0
"28 Days Later...",2002,113,8000000,7.3,24174,"R",0,0,0,0,0,0,0
"3 Men and a Little Lady",1990,104,NA,4.5,3066,"",0,0,1,0,0,0,0
"3 Ninjas",1992,98,NA,4,1392,"",1,0,1,0,0,0,0
"3000 Miles to Graceland",2001,125,62000000,5.4,7298,"R",1,0,1,0,0,0,0
"39 Steps, The",1935,86,NA,8,7931,"",0,0,0,1,0,0,0
"40 Days and 40 Nights",2002,96,17000000,5.4,8609,"R",0,0,1,1,0,1,0
"42nd Street",1933,89,439000,7.5,1247,"",0,0,0,1,0,1,0
"48 Hrs.",1982,96,NA,6.8,8742,"",1,0,1,1,0,0,0
"4th Floor, The",1999,90,NA,5.7,1088,"R",0,0,0,0,0,0,0
"50 First Dates",2004,99,75000000,6.8,13497,"PG-13",0,0,1,0,0,1,0
"51st State, The",2001,92,28000000,6.1,6752,"R",1,0,1,0,0,0,0
"54",1998,100,13000000,5.4,6905,"R",0,0,0,1,0,0,0
